BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Polzler2015-PLZMRA,2015,Moral Reality and the Empirical Sciences,"Pölzler, Thomas",NA,NA,THESIS,NA,,NA
Brunette2015-BRUAIM,2015,Are Individuals More Risk and Ambiguity Averse in a Group Environment or Alone? Results From an Experimental Study,"Brunette, Marielle, Cabantous, Laure, Couture, Stéphane",Theory and Decision,NA,ARTICLE,10.1007/s11238-014-9432-5,,Springer Nature
Heimann2015-HEIPVA,2015,Peoples? Views About the Acceptability of Executive Bonuses and Compensation Policies,"Heimann, Marco, Mullet, Étienne, Bonnefon, Jean{-}François",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-014-2062-6,,Springer Netherlands
Quintelier2014-QUIAVA,2014,Agent Versus Appraiser Moral Relativism: An Exploratory Study,"Quintelier, Katinka, Smet, D. De, Fessler, D. M. T.",NA,Advances in Experimental Moral Psychology,INCOLLECTION,NA,,Bloomsbury Academic
Bello2013-BELOHT,2013,On How to Build a Moral Machine,"Bello, Paul, Bringsjord, Selmer",Topoi,NA,ARTICLE,10.1007/s11245-012-9129-8,,Springer Verlag
Komorowska-Mach2013-KOMNPF,2013,Negatywny Program Filozofii Eksperymentalnej a Odwołania Do Intuicji W Argumentacji Filozoficznej,"Komorowska{-}Mach, Joanna",Filozofia Nauki,NA,ARTICLE,NA,,NA
Rusch2014-RUSEUE,2014,Experimentelle Und Evolutionäre Ethik: Eine Neue Synthese in der Moralphilosophie?,"Rusch, Hannes, Luetge, Christoph, Voland, Eckart",NA,Bereichsethiken im interdisziplinären Dialog,INCOLLECTION,NA,,KIT Scientific Publishing
Rini2014-RINAMI,2014,"Analogies, Moral Intuitions, and the Expertise Defence","Rini, Regina A.",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-013-0163-2,,Springer Verlag
DeCruz2015-CRUTRO-3,2015,The Relevance of Hume's Natural History of Religion for Cognitive Science of Religion,"Cruz, Helen De",Res Philosophica,NA,ARTICLE,10.11612/resphil.2015.92.3.5,,NA
Waskan2014-WASEAO,2014,Explanatory Anti-Psychologism Overturned by Lay and Scientific Case Classifications,"Waskan, Jonathan, Harmon, Ian, Horne, Zachary, Spino, Joseph, Clevenger, John",Synthese,NA,ARTICLE,10.1007/s11229-013-0304-2,,Springer Verlag
May2014-MAYMJA,2014,Moral Judgment and Deontology: Empirical Developments,"May, Joshua",Philosophy Compass,NA,ARTICLE,10.1111/phc3.12172,,NA
Andow2015-ANDHDI-2,2015,How Distinctive is Philosophers? Intuition Talk?,"Andow, James",Metaphilosophy,NA,ARTICLE,10.1111/meta.12151,,Blackwell
Luetge2014-LUECPA,2014,"Chances, Problems, and Limits of Experimental Ethics","Luetge, Christoph",NA,Experimental Ethics: Toward an Empirical Moral Philosophy,INCOLLECTION,NA,,Palgrave-Macmillan
Gabinska2015-GABTEO-8,2015,"The Effect of Emotions, Promotion Vs. Prevention Focus, and Feedback on Cognitive Engagement","Gabińska, Anna, Wytykowska, Agata",Polish Psychological Bulletin,NA,ARTICLE,10.1515/ppb-2015-0042,,De Gruyter Open
Hansen2015-HANEPO-2,2015,Experimental Philosophy of Language,"Hansen, Nathaniel",NA,Oxford Handbooks Online,INCOLLECTION,NA,,NA
